job title,description,company,salary range,url
Data Architect Analyst (6 months internship),-,"Mizuho Bank, Ltd",,https://www.jobstreet.com.sg/job/75341640
"Internship - ATV Supply Chain Planner, Data Analytics","Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,https://www.jobstreet.com.sg/job/75191095
Data Analyst,"Responsible for delivering, standardizing and automating data analytic reports, notifications and dashboards.
Job Requirements:
Degree in Computer ...",D L Resources Pte Ltd,,https://www.jobstreet.com.sg/job/75206179
Data Analyst,"Job Roles:Regular data mining, transformation, visualization, analytics and reporting worksCoordinate with various internal and external technology...",D L Resources Pte Ltd,,https://www.jobstreet.com.sg/job/75203101
"AVP, Data Analyst, Business Performance, Consumer Banking Group",Refer a friend Submit a candidate's profile,DBS Bank Limited,,https://www.jobstreet.com.sg/job/75368930
Administrator (Data Analytics),Data Analysis and prepare reports  Manage calendar for VP and the team Schedule and prepare claims submission,IHH Healthcare,,https://www.jobstreet.com.sg/job/75182689
Senior Data Analyst,We are seeking an experienced Senior Data Analyst to join our dynamic Data Analytics & Insights team. The ideal candidate will have a solid foundat...,Net6tem,,https://www.jobstreet.com.sg/job/75238768
"Senior Executive / Assistant Manager, Data Analytics & Insights(5861)",-,NUHS Group Ops & IT,,https://www.jobstreet.com.sg/job/75150563
Data Science Engineer - (Python),To develop models and work with various in-house stakeholders in the manufacturing industry.,GMP Group HQ,"$4,000 – $4,800 per month",https://www.jobstreet.com.sg/job/75320644
Administrator (Data Analytics),The Role Key accountabilities Data Analysis and prepare reports  Project Management Manage calendar for VP and the team Schedule and coordin,IHH Healthcare,,https://www.jobstreet.com.sg/job/75148974
Data Analyst - SeaMoney Credit,-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75252728
Data Science Analyst / Senior Data Science Analyst,Data Science Analyst / Senior Data Science Analyst,PSA Corporation Limited,,https://www.jobstreet.com.sg/job/75371604
"Data Analyst, Planning & Budgeting - SG Warehouse",The Business Intelligence and Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As business...,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75243684
Data Analyst (Data Models| SQL | Cloud Data) - West,"Collaborate with the cross functional teams to comprehend department, individual data requirements, use-case specific.",Talent Trader Group Pte Ltd,,https://www.jobstreet.com.sg/job/75276585
Regional Operations Data Analyst,--,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75242491
Senior Data Analyst - Marketplace Product,--,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75217932
"Manager, SIT Teaching and Learning Academy (Data Analytics)",We are looking for an educational data analyst to join our team (SIT Teaching & Learning Academy) and help us leverage data to enhance teaching and...,Singapore Institute of Technology,,https://www.jobstreet.com.sg/job/75137646
Business Development (Data Analyst) Intern - Revenue Marketing Solutions,-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75318588
"Executive, Data & Products","You will be part of a dynamic team to drive growth in designing, managing and developing a Regional Data Warehouse Platform with various local and ...",beIN Sports Asia Pte Limited,,https://www.jobstreet.com.sg/job/75367686
Data analyst application,Our client is the leading American laboratory instrument in Manufacturing Industry. They are actively looking to hire a FPNA Data Analyst & Applica...,RGF,,https://www.jobstreet.com.sg/job/75287673
Business Development (Data Analyst) Intern - Seller Revenue Marketing Solution,-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75321849
Data Analyst Intern,"If you love working with technology to create solutions and are not afraid to roll up your sleeves to get things done, you will find your tribe her...",FOODPANDA SINGAPORE PTE. LTD.,,https://www.jobstreet.com.sg/job/75368257
Digital Solution Sales Representative (Data Analytics),The overarching responsibility for the Solution Representative is to deliver project excellence end to end for the account and grow revenue and inc...,IBM SERVICES TALENT DELIVERY PTE. LTD.,,https://www.jobstreet.com.sg/job/75139657
Regional Data Analyst - APAC,12 Months Contract with MNC Tech Company,Peoplebank Singapore Pte Ltd,$9k - $10k per month,https://www.jobstreet.com.sg/job/75250769
"Executive, Procurement (Data Analytics)","We Know What It Takes, Join Us !",ST Engineering Ltd,,https://www.jobstreet.com.sg/job/75111245
"Junior Data Analyst - Business Intelligence, Regional Operations",-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75321083
Business Development (Data Analyst) Intern - Revenue Marketing Solutions,-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75317664
BI Analyst,Genie Financial Services on a lookout for BI Analyst,Genie Financial Services,,https://www.jobstreet.com.sg/job/75354771
"Data Analyst Intern - Seller Operations, Regional Operations (Summer 2024)",--,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75253897
Temporary Data Scientist (IORA),"Date: 23 Apr 2024
Location:
SPECIALTY RESEARCH INST/CTRS, Kent Ridge Campus, SG
Company:
National University of Singapore
Job Description
Work hand...",Yale-NUS College,,https://www.jobstreet.com.sg/job/75368980
Senior Data Scientist,"As Senior Data Scientist, you will be required to lead the development of distinctive analytical and risk insights that deliver improvements in bus...",Zurich Services (Hong Kong) Limited,,https://www.jobstreet.com.sg/job/75238805
Information Technology - Data Scientist (Data Science Track),"SIA has multiple positions for junior and senior data scientists to drive our AI, data science and business analytics initiatives.
Key Responsibili...",Singapore Airlines,,https://www.jobstreet.com.sg/job/75302637
Data Analytics - Senior Associate/AVP,  Master or equivalent in Data Science / Computing. Candidates with equivalent academic qualifications in other disciplines but able to showcase ke...,ORIENT FUTURES INTERNATIONAL (SINGAPORE) PTE. LTD.,,https://www.jobstreet.com.sg/job/75101363
Data scientist,"Whizmeal is seeking a talented freelance Data Scientist to join our team and support our efforts in analyzing data for clients within the F&B, hosp...",WHIZMEAL PTE. LTD.,,https://www.jobstreet.com.sg/job/75288007
"Analytics, Insights & Reporting - Specialist","And to get there, we need ambitious people who believe in playing an important part in shaping that future. People seeking unmatched career and per...",AIA SINGAPORE PRIVATE LIMITED - GOH HOCK CHYE SAMUEL,,https://www.jobstreet.com.sg/job/75390837
Data Analyst - Search & Recommendation,-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75256126
Sr Data Analyst (3PL / MNC),An exciting career opportunity for an MNC client in the Logistics & Supply Chain industry.,People Profilers Pte Ltd,,https://www.jobstreet.com.sg/job/75299586
Temporary Data Scientist (IORA),Temporary Data Scientist (IORA),National University of Singapore,,https://www.jobstreet.com.sg/job/75338628
System Analyst (Data),"At least 5 years of experience in Data Analytics / BI reporting.Preferably, the incumbent should possess a Diploma / Degree in Computer...",Raffles Medical Group Ltd,,https://www.jobstreet.com.sg/job/75367797
Data Scientist,"* Major Foreign-Based Manufacturing Organisation in Singapore
* Key Data Role in Singapore
* Employee-Centric Environment",Hudson Global Resources ( HQ ),to be advised,https://www.jobstreet.com.sg/job/75190963
Internship - Data Scientist,"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,https://www.jobstreet.com.sg/job/75187339
Data Analyst,"InfoCepts is a global leader of end-to-end data & analytics solutions with nearly 20 years of experience, also named as Gartner s 2020, 2021 and 20...",InfoCepts Pte. Ltd.,,https://www.jobstreet.com.sg/job/75167648
Data Analyst (Entry level),"Be able to spot patterns and trends in our data, generate insights and hypotheses, and propose solutions to address business or product problems.
B...",Carousell Pte Ltd,,https://www.jobstreet.com.sg/job/75179423
Risk Data Analyst - SeaMoney Credit,-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75322297
Data Manager,Our client seeks a visionary Data Manager to lead the charge in their digital transformation.,Robert Half International Pte Ltd,Competitive,https://www.jobstreet.com.sg/job/75217535
Business Analyst (ETL/ Data Mapping),We are urgently hiring for a Business Analyst for one of our reputed banking client based in Singapore,JonDavidson Pte Ltd,,https://www.jobstreet.com.sg/job/75328142
"Data Analyst - Business Intelligence, Regional Operations",--,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75245372
BI Analyst,"What you will do:
Data Analysis and Reporting:
Collect, analyze, and interpret business data to provide actionable insights.
Generate regular repor...",Genie Financial Services Pte Ltd,,https://www.jobstreet.com.sg/job/75331777
"Director, Data and Analytics","The Director, Data and Analytics (Data Engineering) will be embedded within our Mindshare agency team and leverage their experience to drive develo...",GroupM Singapore Pte Ltd,,https://www.jobstreet.com.sg/job/75073941
"Global Marketing Analytics, Assistant Manager","As a Marketing Analytics Assistant Manager, you will possess strong analytical skills, a deep understanding of marketing principles, and the abilit...",Castlery,,https://www.jobstreet.com.sg/job/75332533
STAFF DATA SCIENCE ENGINEER,"As a Data Science Engineer at Micron, you will employ techniques and theories drawn from areas of mathematics, statistics, semiconductor physics, m...",MICRON SEMICONDUCTOR ASIA OPERATIONS PTE LTD,,https://www.jobstreet.com.sg/job/75327985
"Senior Data Analyst, Regional BI & Planning",--,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75252810
Data Analyst (Petrochemical | Oil & Gas | Data Models| SQL | Cloud Data) - West,"Collaborate with the cross functional teams to comprehend department, individual data requirements, use-case specific.",Talent Trader Group Pte Ltd,,https://www.jobstreet.com.sg/job/75120933
"Intern - Technology Consulting, Data & Analytics (Off cycle Aug - Dec 2024)",Data Analytics is integrated into all Consulting service offerings and assists clients to leverage data as an asset throughout its business process...,Ernst & Young Solutions LLP,,https://www.jobstreet.com.sg/job/75071965
Data scientist,"Whizmeal is seeking a talented freelance Data Scientist to join our team and support our efforts in analyzing data for clients within the F&B, hosp...",WHIZMEAL PTE. LTD.,,https://www.jobstreet.com.sg/job/75238067
"Data Analyst (Tableau, R, Python, SQL, Power BI, Advance Excel)","This is a new role and exciting opportunity to support business decision-making, strategic development and operational requirements.",Alliance Healthcare Group Limited,,https://www.jobstreet.com.sg/job/75108644
"Vice President, Business Banking Analytics (Credit Risk Modeling)",-,United Overseas Bank Limited (UOB),,https://www.jobstreet.com.sg/job/75351418
Data Analyst - MariBank,...,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75185813
Senior Data Scientist - Marketplace (Singapore),"If you re a data scientist at heart, this role is for you! because you ll be mining insights from the sea of data, building data products, and desi...",Go-Jek Singapore Pte Ltd,,https://www.jobstreet.com.sg/job/75367452
Data Scientist (Contract),"We seek a data scientist with a profound interest in both theoretical and applied machine learning, thriving in a dynamic work environment. The ide...",TOOKITAKI HOLDING PTE. LTD.,,https://www.jobstreet.com.sg/job/75238580
"Data Analyst, Assistant Manager",Good salary package with career advancement opportunities,MCI Career Services Pte Ltd,"$4,800 – $7,200 per month",https://www.jobstreet.com.sg/job/74988535
Backend Engineer - Global E-Commerce (Commercial Platform - Data Intelligence),The Data Intelligence team is responsible for development of data analytics & data-empowered platform capabilities across Global E-Commerce. Our mi...,TIKTOK PTE. LTD.,,https://www.jobstreet.com.sg/job/75331666
Global Aftersales Analytics Manager,"As a Global Aftersales Analytics Manager, your mission is to help shape and develop the Global Aftersales analytics and reporting landscape. Workin...",Dyson Operations Pte Ltd,,https://www.jobstreet.com.sg/job/75206240
Senior Data Analyst (1 Year Renewable Contract),We are seeking an experienced Senior Data Analyst to join our dynamic Data Analytics & Insights team. The ideal candidate will have a solid foundat...,FCM,,https://www.jobstreet.com.sg/job/75167631
Data Analyst (Gaming Industry),Morgan McKinley is hiring a Data Analyst (Gaming Industry) to join the team for a 12 months contract with possibility to extend or to go permanent!,Morgan McKinley,"$7,000 – $10,000 per month",https://www.jobstreet.com.sg/job/75193981
FPNA Data Analyst & Application (IMMEDIATE|MNC|Singapore),Our client is the leading American laboratory instrument in Manufacturing Industry.,RGF Talent Solutions Singapore Pte Ltd,,https://www.jobstreet.com.sg/job/75203364
"Assistant Manager, Data Engineering & Software Development",We invite you to apply and contribute to CAG s commitment to excellence and innovation.,Changi Airport Group (Singapore) Pte. Ltd.,,https://www.jobstreet.com.sg/job/75306195
"Senior Executive, NCIS Strategy Execution & Project Management Office (Data)",Data Analyst / Data Scientist,National University Hospital,,https://www.jobstreet.com.sg/job/74271258
Data Analyst (Oil and Gas | Trading) – 1 year contract,"Perform data collection, cleaning, and analysis tasks to derive actionable insights from trading data, market trends, and other relevant sources.",GMP Group HQ,"$5,000 – $6,500 per month",https://www.jobstreet.com.sg/job/75279018
"Bioinformatics Specialists (Lab of Systems Biology and Data Analytics), GIS","Bioinformatics Specialists (Laboratory of Systems Biology and Data Analytics), GIS","Agency for Science, Technology and Research (A*STAR)",,https://www.jobstreet.com.sg/job/75081466
"Data Analyst Intern, Regional BI & Planning (Summer 2024)",-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75165117
Data Analyst,"-Major Foreign-Based Manufacturing Organisation in Singapore
-Key Data Role in Singapore
-Employee-Centric Environment",Hudson Global Resources ( HQ ),To be advised,https://www.jobstreet.com.sg/job/75095383
"Data Analyst Intern - Customer Service Chatbot, Regional Operations",-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75310200
Junior Data Engineer - SG,"Internet of Things (IoT) platform and solutions comprehensive use of IoT, artificial intelligence, big data, cloud computing and other technologies...",Beyondsoft International (Singapore) Pte Ltd,,https://www.jobstreet.com.sg/job/75367756
"Senior/Executive, Value Based Care",a) The Executive will support the organisation s strategic growth and development in the area of Value Based Care (VBC) under Clinical & Academic D...,National Healthcare Group Corporate Office (HQ),,https://www.jobstreet.com.sg/job/75332121
HR Data Analyst (Bank),"Join as HR Data Specialist shape impactful analytics, forge partnerships, and drive finance's future in a dynamic team. Your opportunity starts here!",Elitez Pte Ltd,"$4,000 – $6,000 per month",https://www.jobstreet.com.sg/job/75198960
"Enterprise Analytics, Specialist","Someone who is passionate about pushing boundaries for BI dashboards. From data flows to story-telling, you will be responsible for redefining AIA ...",AIA SINGAPORE PRIVATE LIMITED - GOH HOCK CHYE SAMUEL,,https://www.jobstreet.com.sg/job/75276442
Internship - Data Science Analyst,"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,https://www.jobstreet.com.sg/job/75192079
Lead/ Senior Research Analyst,"As a Research Analyst, you will drive new applications of data science through the novel use of established methods, as well as learn and apply new...",Central Provident Fund Board,,https://www.jobstreet.com.sg/job/75369435
Business Intelligence Analyst,Commercial Excellence as part of the Asia Business Excellence team will lead the change in the region s commercial organization through the develop...,Yara Asia Pte Ltd,,https://www.jobstreet.com.sg/job/75367658
"Data Engineer, Sensor & Machine Learning Lab (6241)",-,Changi Airport Group (Singapore) Pte. Ltd.,,https://www.jobstreet.com.sg/job/75376409
Data Engineer,Vanguard is a boutique software house that specialises in realising clients' business goals into enterprise grade cloud-native WebApps.,Vanguard Software Pte Ltd,,https://www.jobstreet.com.sg/job/75352859
Customer Data Specialist (Data Analyst/ SAP/ PowerBI),Our client is an American technology & semiconductor company that primarily supplied programmable logic devices.,Manpower Staffing Services (S) Pte Ltd - Head Office,"$3,500 – $4,000 per month",https://www.jobstreet.com.sg/job/75151790
Business Intelligence Solution Analyst - SG Business Intelligence,-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75277767
"Executive/Senior Executive, NUHS Education & Research Office(6270)",-,National University Health System,,https://www.jobstreet.com.sg/job/75185030
Operations Analyst - Logistics/Analytics/Engineering (RPA / Python / Power BI),"AWS+VB
Qualified or interested candidates, please submit updated resume in MS format by using the Apply Now Button or email to beile.lim@cvistahr.com",CVista HR Consulting Pte Ltd,"$3,800 – $4,500 per month",https://www.jobstreet.com.sg/job/75354945
A&I Data Analyst (Finance),"Business Analyst or Data Analyst experience under Finance, Merchandising, and/or Supply Chain is preferred. Has experience and familiarity in repor...",ECCO Asia Pacific (Singapore) Pte Ltd,,https://www.jobstreet.com.sg/job/75144958
Data Analyst - AI Innovation Business,"1. Responsible for data analysis related to AI business, including user experience, model effectiveness, etc.
2. Improve data construction, observe...",BYTEDANCE PTE. LTD.,,https://www.jobstreet.com.sg/job/75144669
"Senior Manager / Manager, Research & Publishing",The prospect is expected to conduct quantitative and qualitative research as well as provide leadership and guidance to junior team members in the ...,Singapore Business Federation,,https://www.jobstreet.com.sg/job/75302698
"Post Doctoral Fellow (Laboratory of Systems Biology & Data Analytics), GIS","Post Doctoral Fellow (Laboratory of Systems Biology & Data Analytics), GIS","Agency for Science, Technology and Research (A*STAR)",,https://www.jobstreet.com.sg/job/75080575
Regional Marketplace Operations Data Analyst (Campus Hiring 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75254733
"Data Analyst (Clinical, Ref:DMOIT)",You will be actively involved in data management of clinical research studies and long-term study databases for STCC. Your responsibilities will in...,National Cancer Centre Singapore Pte Ltd,,https://www.jobstreet.com.sg/job/75139507
Data Analytics & Insights (Senior Executive),"Data Analytics & Insights (DAI) team under Group Care Plan Ops will support and work in close partnership with NUHS senior management, ",BGC Group Pte Ltd,"$3,500 – $4,800 per month",https://www.jobstreet.com.sg/job/74996910
Internship - Data Analyst ( BE Manufacturing Excellence),"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,https://www.jobstreet.com.sg/job/75186438
Data Analyst / Scientist (Healthcare),"A data analyst/ scientist to offer analytics support, with a focus on delivering management information and insights to stakeholders.",GMP Group HQ,"$4,000 – $4,300 per month",https://www.jobstreet.com.sg/job/75065647
Senior Business Intelligence (BI) Data Analyst,"As a Senior BI Data Analyst, you will be an essential part of the GFA team, managing BAU activities and contributing to the delivery of insightful ...",Dyson Operations Pte Ltd,,https://www.jobstreet.com.sg/job/75206301
Lead BI Analyst,The role of Lead BI Analyst will be a key member of the GFA team as we continue to produce insightful analytics for our global stakeholders across ...,Dyson Operations Pte Ltd,,https://www.jobstreet.com.sg/job/75206205
Data Analyst - Insurance,-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75182525
Associate Director (Analytics),"We drive a culture that is forward-looking. With a strong passion for IT, our people are always striving to improve, push boundaries and innovate w...",Yale-NUS College,,https://www.jobstreet.com.sg/job/75367694
Data Engineer (Phillip Nova),"Strong programming skills in languages such as Python, Java, or Scala.
Experience with databases (SQL, NoSQL) and data modeling.",Phillip Nova Pte Ltd,,https://www.jobstreet.com.sg/job/75354717
Data Analyst,"As a data analyst at Elevate Tech, you will be responsible for analyzing, interpreting, and visualizing data to identify trends and patterns which ...",ELEVATE TECH PTE. LTD.,,https://www.jobstreet.com.sg/job/75140133
Senior Data Scientist (Supply Planning),"We are currently seeking a Senior Data Scientist to augment our team. In this role, you will have the unique opportunity to leverage big data to de...",GRABTAXI HOLDINGS PTE. LTD.,,https://www.jobstreet.com.sg/job/75367532
CLOUD ENGINEER,We are looking for a skilled Data Analyst who specializes in Kusto Query Language (KQL) to extract insights from our vast datasets. The ideal candi...,Unison Consulting Pte. Ltd.,,https://www.jobstreet.com.sg/job/75370063
Internal Auditor / 12 Months Contract,"3-5 years with at least 2 years in Internal Audit, preferably with a degree in Accountancy and Business",APBA TG Human Resource Pte Ltd,"$3,100 – $3,600 per month",https://www.jobstreet.com.sg/job/75386044
"Assistant Manager, Data and Analytics.",-,Nanyang Technological University,,https://www.jobstreet.com.sg/job/74991576
Senior data,"We are seeking a skilled Data Modeler to join our team. The Data Modeler will be responsible for designing, implementing, and maintaining data mode...",Allegis Group Singapore Pte Ltd,,https://www.jobstreet.com.sg/job/75287690
"Enterprise Analytics, Specialist",Assist process owners to achieve success in their process and data workflow transformation journey.,AIA SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75216304
Data Analyst - AI Innovation Business,"1. Responsible for data analysis related to AI business, including user experience, model effectiveness, etc.
2. Improve data construction, observe...",BYTEDANCE PTE. LTD.,,https://www.jobstreet.com.sg/job/75145155
"Sr. Manager, Marketing Strategy and Analytics","Join the team as Twilio s next Senior Manager, Marketing Strategy and Analytics, supporting the APJ region.
Who we are & why we re hiring
Twilio po...",Twilio - Business Communications and Data Solutions,,https://www.jobstreet.com.sg/job/75367643
Business Intelligence Analyst - SG Business Intelligence,-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75277740
"Fraud Data Analyst Intern - Trust and Safety, Regional Operations (Summer 2024)",-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75252923
Data Engineer (SSIS),"Prior experience as a Data Engineer, with a demonstrated capability to design and implement data models, ETL processes, and data integration soluti...",Goldtech Resources Pte Ltd,,https://www.jobstreet.com.sg/job/75298934
Professional Officer (All Levels) in Business Analytics,-,Singapore Institute of Technology,,https://www.jobstreet.com.sg/job/75375520
"Data Engineer/Scientist (Python, Java, Apache Spark, AWS)","As a Battery Insights Date Scientist in Singapore, you will architect and maintain robust data systems. Collaborate with cross-functional teams to ...",Durapower Technology (Singapore) Pte Ltd,,https://www.jobstreet.com.sg/job/75167049
Senior Data Engineer,Senior Data Engineer with a leading banking client,Adecco Personnel Pte Ltd.,$9000,https://www.jobstreet.com.sg/job/75296399
Data Engineer( Sparks Developer ),"Leveraging the latest technology to develop mission critical applications from scratch. design, develop, test and deploy new applications as part o...",TECHNOPALS CONSULTANTS PTE. LTD.,,https://www.jobstreet.com.sg/job/75332218
